,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
57,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,2195.896293,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,220911.0399
58,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,4172.382692,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,220911.0399
59,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-8134.77696,26621.424,20317.104,0.0,1146.24,5158.08,0.0,106485.696
60,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-511.18656,26621.424,20317.104,0.0,1146.24,5158.08,0.0,106485.696
61,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,482861.489
62,Rural 1,all_spectrum,5926,2720,2,4012793,677.832,4.0,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,380589.7925
63,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2744.370399,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
64,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,5116.154078,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
65,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2985.207552,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
66,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,2635.075551,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
67,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,5006.85923,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
